State Code,State Name,Year,Unemployment Rate,Alcohol Consumption,Health Status,"Cancer cases per 100,000 persons",Life Expectancy
ARG,Argentina,2010,,8.20000000,,,
AUS,Australia,2010,5.207862000000,10.40000000,,,
AUT,Austria,2010,5.208333333333,12.10000000,,,
BEL,Belgium,2010,8.383333333333,10.30000000,,,
BGR,Bulgaria,2010,,9.80000000,,,
BRA,Brazil,2010,,8.50000000,,,
CAN,Canada,2010,8.141666666667,8.40000000,,,
CHE,Switzerland,2010,,9.70000000,,,
CHL,Chile,2010,8.259642333333,7.60000000,,,
CHN,China (People???s Republic of),2010,,5.80000000,,,
COL,Colombia,2010,11.956147500000,4.20000000,,,
CRI,Costa Rica,2010,8.946773400000,3.70000000,,,
CZE,Czechia,2010,7.283333333333,11.40000000,,,
DEU,Germany,2010,6.550000000000,11.60000000,,,
DNK,Denmark,2010,7.750000000000,10.80000000,,,
EA20,Euro area (20 countries),2010,10.266666666667,,,,
ESP,Spain,2010,19.866666666667,9.80000000,,,
EST,Estonia,2010,16.550000000000,11.40000000,,,
EU27_2020,European Union (27 countries from 01/02/2020),2010,10.066666666667,,,,
FIN,Finland,2010,8.566666666667,9.70000000,,,
FRA,France,2010,9.266666666667,12.30000000,,,
G7,G7,2010,8.117707083333,,,,
GBR,United Kingdom,2010,7.891666666667,10.10000000,,,
GRC,Greece,2010,12.925000000000,8.30000000,,,
HRV,Croatia,2010,,10.70000000,,,
HUN,Hungary,2010,10.791666666667,10.80000000,,,
IDN,Indonesia,2010,,0.10000000,,,
IND,India,2010,,2.70000000,,,
IRL,Ireland,2010,14.600000000000,11.60000000,,,
ISL,Iceland,2010,8.350000000000,6.80000000,,,
ISR,Israel,2010,,2.80000000,,,
ITA,Italy,2010,8.500000000000,7.00000000,,,
JPN,Japan,2010,5.058333333333,7.30000000,,,
KOR,Korea,2010,3.700000000000,8.90000000,,,
LTU,Lithuania,2010,17.833333333333,13.50000000,,,
LUX,Luxembourg,2010,4.566666666667,11.90000000,,,
LVA,Latvia,2010,19.483333333333,9.80000000,,,
MEX,Mexico,2010,5.381159083333,4.00000000,,,
NLD,Netherlands,2010,6.091666666667,9.10000000,,,
NOR,Norway,2010,3.933333333333,6.60000000,,,
NZL,New Zealand,2010,,9.60000000,,,
OECD,OECD,2010,8.524068416667,,,,
PER,Peru,2010,,5.20000000,,,
POL,Poland,2010,9.975000000000,10.00000000,,,
PRT,Portugal,2010,12.583333333333,11.30000000,,,
ROU,Romania,2010,,10.00000000,,,
RUS,Russia,2010,,15.80000000,,,
SVK,Slovak Republic,2010,14.416666666667,10.10000000,,,
SVN,Slovenia,2010,7.241666666667,10.30000000,,,
SWE,Sweden,2010,8.775000000000,7.40000000,,,
TUR,T??rkiye,2010,11.116666666667,1.50000000,,,
USA,United States,2010,9.608333333333,8.60000000,,,
ZAF,South Africa,2010,,7.10000000,,,
ARG,Argentina,2011,,7.70000000,,,
AUS,Australia,2011,5.081748166667,10.20000000,,,
AUT,Austria,2011,4.883333333333,11.90000000,,,
BEL,Belgium,2011,7.233333333333,10.10000000,,,
BGR,Bulgaria,2011,,9.90000000,,,
BRA,Brazil,2011,,8.60000000,,,
CAN,Canada,2011,7.616666666667,8.20000000,,,
CHE,Switzerland,2011,,9.50000000,,,
CHL,Chile,2011,7.320927333333,7.10000000,,,
CHN,China (People???s Republic of),2011,,5.40000000,,,
COL,Colombia,2011,10.976968333333,4.30000000,,,
CRI,Costa Rica,2011,10.220653500000,3.30000000,,,
CZE,Czechia,2011,6.716666666667,11.50000000,,,
DEU,Germany,2011,5.525000000000,11.30000000,,,
