ref_area_code,avg_obs_value
RUS,13.340000000000
LTU,13.075000000000
FRA,11.641666666667
CZE,11.633333333333
AUT,11.616666666667
LUX,11.480000000000
DEU,11.090000000000
EST,10.991666666667
LVA,10.916666666667
HUN,10.858333333333
IRL,10.823076923077
BGR,10.680000000000
POL,10.583333333333
SVN,10.491666666667
PRT,10.360000000000
HRV,10.070000000000
DNK,10.050000000000
SVK,10.033333333333
ESP,10.000000000000
ROU,9.970000000000
BEL,9.890000000000
AUS,9.875000000000
GBR,9.691666666667
BRA,9.100000000000
NZL,8.984615384615
CHE,8.941666666667
USA,8.916666666667
FIN,8.741666666667
KOR,8.608333333333
NLD,8.458333333333
CAN,8.161538461538
ARG,8.130000000000
ITA,7.360000000000
SWE,7.258333333333
ISL,7.236363636364
ZAF,7.210000000000
CHL,7.150000000000
JPN,7.125000000000
GRC,7.100000000000
NOR,6.369230769231
PER,5.510000000000
CHN,5.390000000000
MEX,4.341666666667
COL,4.260000000000
CRI,3.276923076923
IND,2.970000000000
ISR,2.850000000000
TUR,1.408333333333
IDN,0.100000000000
