id,ref_area_code,obs_status_id,time_period,obs_value
1,AUS,A,2010,10.40000000
2,AUS,A,2011,10.20000000
3,AUS,A,2012,10.00000000
4,AUS,A,2013,9.90000000
5,AUS,A,2014,9.70000000
6,AUS,A,2015,9.80000000
7,AUS,A,2016,9.50000000
8,AUS,A,2017,9.50000000
9,ISL,A,2010,6.80000000
10,ISL,A,2011,6.80000000
11,ISL,A,2012,6.80000000
12,ISL,A,2013,6.80000000
13,ISL,A,2014,7.00000000
14,ISL,A,2015,7.70000000
15,ISL,A,2016,7.50000000
16,ISL,A,2017,7.70000000
17,ISL,A,2018,7.70000000
18,ISL,A,2019,7.40000000
19,ISL,A,2020,7.40000000
20,SVN,A,2010,10.30000000
21,SVN,A,2011,10.60000000
22,SVN,A,2012,11.00000000
23,SVN,A,2013,9.50000000
24,SVN,A,2014,10.90000000
25,SVN,A,2015,11.50000000
26,SVN,A,2016,10.50000000
27,SVN,A,2017,10.10000000
28,SVN,A,2018,10.00000000
29,SVN,A,2019,11.10000000
30,SVN,A,2020,9.80000000
31,SVN,A,2021,10.60000000
32,DNK,D,2010,10.80000000
33,DNK,D,2011,11.00000000
34,DNK,D,2012,9.80000000
35,DNK,D,2013,10.00000000
36,DNK,D,2014,10.10000000
37,DNK,D,2015,9.90000000
38,DNK,D,2016,10.00000000
39,DNK,D,2017,9.70000000
40,DNK,D,2018,9.70000000
41,DNK,D,2019,9.50000000
42,DNK,D,2020,9.70000000
43,DNK,D,2021,10.40000000
44,LTU,A,2010,13.50000000
45,LTU,A,2011,14.70000000
46,LTU,A,2012,14.70000000
47,LTU,A,2013,14.50000000
48,LTU,A,2014,14.20000000
49,LTU,A,2015,14.00000000
50,LTU,A,2016,13.20000000
51,LTU,A,2017,12.30000000
52,LTU,A,2018,11.20000000
53,LTU,A,2019,11.10000000
54,LTU,A,2020,11.40000000
55,LTU,A,2021,12.10000000
56,AUT,A,2010,12.10000000
57,AUT,A,2011,11.90000000
58,AUT,A,2012,12.10000000
59,AUT,A,2013,11.90000000
60,AUT,A,2014,12.20000000
61,AUT,A,2015,11.20000000
62,AUT,A,2016,11.40000000
63,AUT,A,2017,11.30000000
64,AUT,A,2018,11.30000000
65,AUT,A,2019,11.60000000
66,AUT,A,2020,11.30000000
67,AUT,A,2021,11.10000000
68,IND,A,2010,2.70000000
69,IND,A,2011,3.00000000
70,IND,A,2012,3.00000000
71,IND,A,2013,3.00000000
72,IND,A,2014,3.00000000
73,IND,A,2015,3.00000000
74,IND,A,2016,3.00000000
75,IND,A,2017,2.90000000
76,IND,A,2018,3.00000000
77,IND,A,2019,3.10000000
78,MEX,D,2010,4.00000000
79,MEX,D,2011,4.00000000
80,MEX,D,2012,3.90000000
81,MEX,D,2013,3.80000000
82,MEX,D,2014,4.00000000
83,MEX,D,2015,4.30000000
84,MEX,D,2016,4.40000000
85,MEX,D,2017,4.70000000
86,MEX,D,2018,4.80000000
87,MEX,D,2019,4.90000000
88,MEX,D,2020,4.20000000
89,MEX,D,2021,5.10000000
90,LUX,D,2010,11.90000000
91,LUX,D,2011,11.80000000
92,LUX,D,2012,11.80000000
93,LUX,D,2013,11.40000000
94,LUX,D,2014,11.60000000
95,LUX,D,2015,11.50000000
96,LUX,D,2016,11.40000000
97,LUX,D,2017,11.30000000
98,LUX,D,2018,11.10000000
99,LUX,D,2019,11.00000000
100,PER,A,2010,5.20000000
101,PER,A,2011,5.20000000
102,PER,A,2012,5.40000000
103,PER,A,2013,5.30000000
104,PER,A,2014,5.50000000
105,PER,A,2015,5.70000000
106,PER,A,2016,5.60000000
107,PER,A,2017,5.80000000
108,PER,A,2018,5.70000000
109,PER,A,2019,5.70000000
110,CHN,A,2010,5.80000000
111,CHN,A,2011,5.40000000
112,CHN,A,2012,5.50000000
113,CHN,A,2013,5.60000000
114,CHN,A,2014,5.70000000
115,CHN,A,2015,5.70000000
116,CHN,A,2016,5.60000000
117,CHN,A,2017,5.30000000
118,CHN,A,2018,4.80000000
119,CHN,A,2019,4.50000000
120,BEL,A,2010,10.30000000
121,BEL,A,2011,10.10000000
122,BEL,A,2012,10.10000000
123,BEL,A,2013,10.30000000
124,BEL,A,2014,10.60000000
125,BEL,A,2015,10.40000000
126,BEL,A,2016,9.40000000
127,BEL,A,2017,9.30000000
128,BEL,A,2018,9.20000000
129,BEL,A,2019,9.20000000
130,RUS,A,2010,15.80000000
